tweet_id,retweet_count,favorite_count
892420643555336193,8304,37995
892177421306343426,6136,32620
891815181378084864,4061,24551
891689557279858688,8441,41336
891327558926688256,9150,39518
891087950875897856,3042,19854
890971913173991426,2018,11598
890729181411237888,18422,64098
890609185150312448,4180,27271
890240255349198849,7209,31290
890006608113172480,7164,30074
889880896479866881,4862,27267
889665388333682689,9810,47182
889638837579907072,4426,26626
889531135344209921,2197,14817
889278841981685760,5247,24761
888917238123831296,4398,28550
888804989199671297,4190,25067
888554962724278272,3466,19443
888078434458587136,3412,21334
887705289381826560,5270,29591
887517139158093824,11414,45382
887473957103951883,17756,67681
887343217045368832,10167,33033
887101392804085760,5827,29980
886983233522544640,7595,34461
886736880519319552,3207,11826
886680336477933568,4361,22001
886366144734445568,3128,20790
886267009285017600,4,116
886258384151887873,6143,27462
886054160059072513,105,0
885984800019947520,6623,32015
885528943205470208,6280,35299
885518971528720385,3674,20038
885311592912609280,18135,0
885167619883638784,4289,21502
884925521741709313,17848,75885
884876753390489601,5482,27378
884562892145688576,4586,23830
884441805382717440,5529,26472
884247878851493888,20044,71593
884162670584377345,2920,19961
883838122936631299,3373,21481
883482846933004288,9713,45040
883360690899218434,3619,22255
883117836046086144,6519,36444
882992080364220416,3836,23497
882762694511734784,4805,27756
882627270321602560,5947,27401
882268110199369728,11346,44080
882045870035918850,4858,28802
881906580714921986,3319,23849
881666595344535552,10440,49614
881633300179243008,7,124
881536004380872706,15608,48486
881268444196462592,5069,22650
880935762899988482,2726,16692
880872448815771648,3739,20866
880465832366813184,6143,27992
880221127280381952,4125,26532
880095782870896641,4259,27103
879862464715927552,3424,21918
879674319642796034,10,305
879492040517615616,3114,22988
879415818425184262,43324,103880
879376492567855104,3052,16474
879130579576475649,6691,0
879050749262655488,4622,22125
879008229531029506,2644,18632
878776093423087618,4048,19049
878604707211726852,7063,29694
878404777348136964,1267,0
878316110768087041,6524,0
878281511006478336,1267,7597
878057613040115712,6691,41259
877736472329191424,18717,78235
877611172832227328,79,0
877556246731214848,3738,22325
877316821321428993,5085,26898
877201837425926144,5481,26637
876838120628539392,3278,20327
876537666061221889,4560,23108
876484053909872640,2357,18435
876120275196170240,4602,27436
875747767867523072,4216,24761
875144289856114688,4843,21558
875097192612077568,5952,26948
875021211251597312,4641,25036
874680097055178752,4566,27355
874434818259525634,14485,0
874296783580663808,4038,25627
874057562936811520,3899,22298
874012996292530176,10245,34014
873580283840344065,3885,23824
873337748698140672,1564,0
873213775632977920,1564,7122
872967104147763200,5342,26933
872820683541237760,3645,14499
872620804844003328,3647,20495
872486979161796608,8923,40093
872261713294495745,6249,33720
872122724285648897,8034,33945
871879754684805121,11043,37424
871762521631449091,3444,20004
871515927908634625,3426,19945
871166179821445120,5653,0
871102520638267392,5462,20670
871032628920680449,3783,22403
870804317367881728,6158,33232
870726314365509632,3,119
870656317836468226,2626,12276
870374049280663552,26052,81824
870308999962521604,4130,21608
870063196459192321,8307,36291
869772420881756160,9983,42004
869702957897576449,6320,27965
869596645499047938,3125,15832
869227993411051520,3770,20278
868880397819494401,14442,65099
868639477480148993,2097,0
868622495443632128,5287,26542
868552278524837888,2097,10057
867900495410671616,4176,24040
867774946302451713,7340,33768
867421006826221569,2506,16020
867072653475098625,121,0
867051520902168576,7875,32077
866720684873056260,4820,19992
866686824827068416,3489,19249
866450705531457537,35381,121785
866334964761202691,14485,52377
866094527597207552,8395,0
865718153858494464,5643,25564
865359393868664832,5027,26418
865006731092295680,7727,27941
864873206498414592,8748,32246
864279568663928832,3054,14612
864197398364647424,8996,30131
863907417377173506,4172,20616
863553081350529029,4213,15301
863471782782697472,2471,0
863432100342583297,5300,23839
863427515083354112,97,2269
863079547188785154,1113,8777
863062471531167744,2471,8536
862831371563274240,5144,19195
862722525377298433,3559,17093
862457590147678208,5006,20581
862096992088072192,23548,74665
861383897657036800,10839,36204
861288531465048066,4204,17262
861005113778896900,3841,16771
860981674716409858,2185,0
860924035999428608,835,0
860563773140209665,2185,7545
860524505164394496,5358,23747
860276583193509888,3521,18395
860184849394610176,5935,16767
860177593139703809,31349,0
859924526012018688,4152,19660
859851578198683649,3565,15503
859607811541651456,1602,18710
859196978902773760,30727,90482
859074603037188101,13863,34101
858860390427611136,8307,0
858843525470990336,3543,15659
858471635011153920,4939,21689
858107933456039936,2971,15866
857989990357356544,2637,16281
857746408056729600,10865,34613
857393404942143489,1686,5972
857263160327368704,4620,20224
857214891891077121,18,230
857062103051644929,177,0
857029823797047296,4109,19151
856602993587888130,10958,0
856543823941562368,2952,16453
856526610513747968,1933,11996
856330835276025856,699,0
856288084350160898,17,526
856282028240666624,6495,28097
855862651834028034,28,350
855860136149123072,1058,5108
855857698524602368,2173,12018
855851453814013952,18231,46106
855818117272018944,5592,27013
855459453768019968,8457,30391
855245323840757760,6174,0
855138241867124737,47,0
854732716440526848,6313,23238
854482394044301312,7098,29827
854365224396361728,4856,19256
854120357044912130,7745,32582
854010172552949760,3268,16525
853760880890318849,6005,29180
853639147608842240,10539,35580
853299958564483072,3710,15872
852936405516943360,2087,0
852912242202992640,1912,9269
852672615818899456,2246,15272
852553447878664193,3661,16757
852311364735569921,10300,33931
852226086759018497,7091,20505
852189679701164033,1658,11755
851953902622658560,10051,0
851861385021730816,23,0
851591660324737024,3623,16635
851464819735769094,7405,24914
851224888060895234,5976,21252
850753642995093505,9706,31881
850380195714523136,2740,13438
850333567704068097,350,3536
850145622816686080,4017,16815
850019790995546112,5134,21070
849776966551130114,7978,31386
849668094696017920,5202,0
849412302885593088,3298,16368
849336543269576704,1985,11777
849051919805034497,8948,43810
848690551926992896,4539,26016
848324959059550208,4833,25567
848213670039564288,784,8444
848212111729840128,3230,16870
847978865427394560,3430,0
847971574464610304,449,0
847962785489326080,5375,24312
847842811428974592,1416,5658
847617282490613760,447,7254
847606175596138505,3578,19431
847251039262605312,4527,21170
847157206088847362,6178,20647
847116187444137987,3374,22166
846874817362120707,4146,20786
846514051647705089,12250,46265
846505985330044928,3259,14619
846153765933735936,9589,32868
846139713627017216,10446,32036
846042936437604353,3064,16583
845812042753855489,9241,30402
845677943972139009,5059,26061
845397057150107648,1912,7918
845306882940190720,5703,24212
845098359547420673,8106,0
844979544864018432,2733,14142
844973813909606400,3407,15700
844704788403113984,10958,40245
